AnneeChiffre;Date_Naissance;LieuNaissance;Sexe;Jugement;DateJugement;Centre
2006;22/11/1994;PATAR LIA;Feminin;Oui;14/03/2006;Secondaire
2006;13/04/2000;BOUNE FASSOW;Masculin;Oui;14/03/2006;Secondaire
2006;03/07/1988;NDIOURBEL SINE;Feminin;Oui;14/03/2006;Secondaire
2007;13/03/2007;PATAR LIA;Masculin;Non;NULL;Secondaire
2006;05/03/2006;LONDIOR;Masculin;Non;NULL;Secondaire
2006;01/01/2006;NDIEBEL;Masculin;Non;NULL;Secondaire
2006;30/08/1992;PATAR LIA;Masculin;Oui;14/03/2006;Secondaire
2006;01/01/1974;BOUNE FASSOW;Masculin;Oui;14/03/2006;Secondaire
2006;01/01/1986;DIENDER;Feminin;Oui;14/03/2006;Secondaire
2006;16/07/1987;FISSEL2;Masculin;Oui;14/03/2006;Secondaire
2006;08/04/2006;NDOCK DIOUMA LEWROU;Feminin;Non;NULL;Secondaire
2006;10/02/1986;BOUNE FASSOW;Masculin;Oui;14/03/2006;Secondaire
2006;10/01/1980;NDOCK SARE;Feminin;Oui;03/04/2006;Secondaire
2007;01/01/1993;KEUR DEMBA;Masculin;Oui;11/07/2007;Secondaire
2006;01/01/2006;NDOCK SARE;Feminin;Non;NULL;Secondaire
2006;15/02/2006;BOUSTANE DIAW;Masculin;Non;NULL;Secondaire
2006;08/01/2006;NDOCK SARE;Feminin;Non;NULL;Secondaire
2006;01/01/1972;BOUNE FASSOW;Feminin;Oui;14/03/2006;Secondaire
2006;01/01/1986;GOSSAS VILLAGE;Masculin;Oui;01/08/2006;Secondaire
2006;16/04/2006;KEUR ALY NDIAYE;Feminin;Non;NULL;Secondaire
2007;18/03/2007;KEUR DEMBA KHOKH;Feminin;Non;NULL;Secondaire
2006;17/05/2000;BOUNE FASSOW;Feminin;Oui;14/03/2006;Secondaire
2006;05/02/1988;GOSSAS VILLAGE;Feminin;Oui;01/08/2006;Secondaire
2006;05/01/1986;BOUNE FASSOW;Feminin;Oui;14/03/2006;Secondaire
2007;01/01/1999;FISSEL1;Masculin;Oui;21/11/2006;Secondaire
2006;17/10/2005;SOMB;Feminin;Non;NULL;Secondaire
2006;02/02/1998;DIENDER ;Masculin;Oui;01/08/2006;Secondaire
2007;10/10/1996;SOMB;Feminin;Oui;21/11/2006;Secondaire
2006;05/01/2006;BOUSTANE DIAW;Masculin;Non;NULL;Secondaire
2006;25/03/2001;BOUNE FASSOW;Feminin;Oui;14/03/2006;Secondaire
2007;01/04/1999;BOUNE FASSOW;Masculin;Oui;28/03/2007;Secondaire
2006;07/01/1970;GOSSAS VILLAGE;Masculin;Oui;01/08/2006;Secondaire
2006;02/01/1999;BOUNE FASSOW;Feminin;Oui;14/03/2006;Secondaire
2006;09/01/2006;BOUSTANE DIAW;Masculin;Non;NULL;Secondaire
2007;01/01/1992;SOMB;Masculin;Oui;21/11/2006;Secondaire
2007;14/05/1995;SOMB;Feminin;Oui;21/11/2006;Secondaire
2006;01/03/1999;BOUNE FASSOW;Feminin;Oui;14/03/2006;Secondaire
2006;15/01/2006;BOUSTANE ;Masculin;Non;NULL;Secondaire
2006;16/06/1983;PATAR LIA;Masculin;Oui;01/08/2006;Secondaire
2007;01/01/1999;BOUNE FASSOW;Masculin;Oui;22/02/2007;Secondaire
2007;01/01/1965;BOUNE FASSOW;Masculin;Oui;22/02/2007;Secondaire
2006;10/10/1995;BOUNE FASSOW;Masculin;Oui;14/03/2006;Secondaire
2006;12/03/2006;GOSSAS VILLAGE;Feminin;Non;NULL;Secondaire
2006;10/03/1987;GOSSAS VILLAGE;Feminin;Oui;01/08/2006;Secondaire
2007;03/03/1976;BOUNE FASSOW;Feminin;Oui;22/02/2007;Secondaire
2006;08/02/2006;GOSSAS VILLAGE;Masculin;Non;NULL;Secondaire
2006;01/01/1982;BANANE;Feminin;Oui;14/03/2006;Secondaire
2007;01/01/1997;MBENGHANE;Feminin;Oui;21/11/2006;Secondaire
2006;07/02/1992;GOSSAS VILLAGE;Masculin;Oui;01/08/2006;Secondaire
2007;18/03/1995;MBENGHANE;Feminin;Oui;22/02/2007;Secondaire
2006;03/01/2006;BOUSTANE DIAW;Masculin;Non;NULL;Secondaire
2006;03/03/1986;NDOCK TAMSIR;Masculin;Oui;14/03/2006;Secondaire
2006;28/07/1997;FISSEL 1;Feminin;Oui;01/08/2006;Secondaire
2007;02/06/2007;SOMB;Masculin;Non;NULL;Secondaire
2006;10/01/1998;GOSSAS VILLAGE;Masculin;Oui;01/08/2006;Secondaire
2006;21/02/2006;DIAMAGUENE;Masculin;Non;NULL;Secondaire
2006;01/01/1996;NDOCK SARE;Feminin;Oui;01/08/2006;Secondaire
2007;31/12/1995;GOSSAS VILLAGE;Feminin;Oui;28/03/2007;Secondaire
2007;01/01/1994;BANANE;Feminin;Oui;21/11/2006;Secondaire
2006;20/02/2006;PATAR LIA;Feminin;Non;NULL;Secondaire
2006;03/04/1985;NDOCK SARE;Masculin;Oui;29/03/2006;Secondaire
2006;10/10/1993;SAKHMACK;Masculin;Oui;01/08/2006;Secondaire
2007;05/10/1986;KEUR NDIOUGA;Feminin;Oui;20/04/2007;Secondaire
2006;06/03/1985;NDOCK SARE;Masculin;Oui;29/03/2006;Secondaire
2006;06/01/1984;FISSEL 2;Masculin;Oui;01/08/2006;Secondaire
2007;03/03/2007;BOUSTANE;Masculin;Non;NULL;Secondaire
2006;12/12/1985;NDIOURBEL SINE;Feminin;Oui;14/03/2006;Secondaire
2006;05/03/2006;NDOCK SARE;Masculin;Non;NULL;Secondaire
2007;06/04/2007; BOUSTANE LO;Masculin;Non;NULL;Secondaire
2006;20/01/2006;NDOCK SARE;Feminin;Non;NULL;Secondaire
2006;10/03/1992;PATAR LIA;Feminin;Oui;01/08/2006;Secondaire
2006;13/04/1976;MBENGANE;Feminin;Oui;14/05/2006;Secondaire
2007;15/06/1997;SOMB;Masculin;Oui;21/11/2006;Secondaire
2006;01/04/2006;NDOCK SARE;Masculin;Non;NULL;Secondaire
2006;06/08/1991;NDIOURBEL SINE;Feminin;Oui;03/04/2006;Secondaire
2006;19/01/1988;PATAR LIA;Feminin;Oui;01/08/2006;Secondaire
2007;03/05/1986;GOSSAS VILLAGE;Feminin;Oui;27/09/2006;Secondaire
2006;10/03/1982;FISSEL II;Feminin;Oui;03/04/2006;Secondaire
2006;07/11/2003;NDIEBEL;Masculin;Oui;01/08/2006;Secondaire
2006;02/04/2006;NDOCK SARE;Feminin;Non;NULL;Secondaire
2007;03/04/1999;FISSEL2;Masculin;Oui;01/08/2006;Secondaire
2006;17/11/1999;NDIEBEL;Feminin;Oui;01/08/2006;Secondaire
2006;13/07/1981;FISSEL II;Feminin;Oui;03/04/2006;Secondaire
2007;02/03/1996;FISSEL2;Feminin;Oui;01/08/2006;Secondaire
2007;17/02/1995;MBENGANE;Masculin;Oui;22/02/2007;Secondaire
2006;01/01/2000;KEUR YABI;Masculin;Oui;03/04/2006;Secondaire
2006;14/03/1986;DIENDER;Feminin;Oui;14/03/2006;Secondaire
2006;06/04/1986;NDIEBEL;Feminin;Oui;01/08/2006;Secondaire
2007;10/02/1988;DIAMAGUENE;Masculin;Oui;20/04/2007;Secondaire
2007;10/03/1960;SOMB;Masculin;Oui;14/08/2006;Secondaire
2006;03/01/1988;BANANE;Masculin;Oui;14/03/2006;Secondaire
2006;01/01/1996;DIENDER;Masculin;Oui;14/03/2006;Secondaire
2007;01/10/1987;KEUR DEMBA KHOKH;Feminin;Oui;21/11/2006;Secondaire
2006;01/01/1997;DIENDER;Feminin;Oui;14/03/2006;Secondaire
2007;24/05/1998;NDIEBEL;Feminin;Oui;14/03/2006;Secondaire
2006;01/01/1999;DIENDER;Feminin;Oui;14/03/2006;Secondaire
2007;23/01/1986;NDOCK SARE;Masculin;Oui;22/02/2007;Secondaire
2006;05/04/2006;NDOCK SARE;Masculin;Non;NULL;Secondaire
2006;16/03/1996;DIENDER;Masculin;Oui;14/03/2006;Secondaire
2007;01/01/1980;PATAR LIA;Masculin;Oui;20/04/2007;Secondaire
2006;10/01/2006;NDOCK SARE;Feminin;Non;NULL;Secondaire
2006;01/01/1996;DIENDER;Masculin;Oui;14/03/2006;Secondaire
2007;06/04/1995;DIAMBEYE;Masculin;Oui;21/11/2006;Secondaire
2007;19/03/1996;NDIEBEL;Feminin;Oui;14/03/2006;Secondaire
2007;15/06/2002;FISSEL 2;Masculin;Oui;21/11/2006;Secondaire
2006;01/01/1997;DIENDER;Masculin;Oui;14/03/2006;Secondaire
2007;12/10/2000;FISSEL 2;Feminin;Oui;21/11/2006;Secondaire
2006;01/01/1996;DIENDER;Feminin;Oui;14/03/2006;Secondaire
2007;07/06/1995;MBENGANE;Feminin;Oui;21/11/2006;Secondaire
2006;01/03/1997;DIENDER;Feminin;Oui;14/03/2006;Secondaire
2007;18/01/1999;NDIEBEL;Feminin;Oui;14/03/2006;Secondaire
2007;29/03/2007;SOUMBEL KEUR LATYR;Masculin;Non;NULL;Secondaire
2006;01/01/1996;DIENDER;Feminin;Oui;14/03/2006;Secondaire
2006;06/07/1986;SOMB;Feminin;Oui;14/03/2006;Secondaire
2007;08/09/1995;SOMB;Feminin;Oui;21/11/2006;Secondaire
2007;13/06/1999;NDIEBEL;Masculin;Oui;14/03/2006;Secondaire
2007;10/01/1985;NDIOURBEL SINE;Feminin;Oui;22/02/2007;Secondaire
2006;01/01/1987;FISSEL II;Feminin;Oui;03/04/2006;Secondaire
2007;25/02/1996;NDIEBEL;Feminin;Oui;14/03/2006;Secondaire
2007;15/03/1984;KEUR YORO;Feminin;Oui;21/11/2006;Secondaire
2006;07/03/1980;KEUR SERIGNE DIAKHATE;Masculin;Oui;29/03/2006;Secondaire
2006;18/04/1985;SOUMBEL KEUR LATYR;Masculin;Oui;03/04/2006;Secondaire
2007;17/03/1996;NDIEBEL;Masculin;Oui;14/03/2006;Secondaire
2007;17/04/2007;BANANE;Feminin;Non;NULL;Secondaire
2006;28/11/1996;DIENDER;Feminin;Oui;14/03/2006;Secondaire
2007;14/03/1988;KEUR YORO;Feminin;Oui;21/11/2006;Secondaire
2007;10/01/1998;PATAR LIA;Masculin;Oui;21/11/2006;Secondaire
2006;03/03/1987;DIENDER II ;Feminin;Oui;14/03/2006;Secondaire
2007;09/12/2006;LONDIOR;Feminin;Non;NULL;Secondaire
2006;19/06/2006;NDOCK SARE;Feminin;Non;NULL;Secondaire
2007;06/03/1988;NDIEBEL;Masculin;Oui;01/08/2006;Secondaire
2006;22/05/2006;METH;Feminin;Non;NULL;Secondaire
2007;01/01/1970;KEUR YORO;Feminin;Oui;22/02/2007;Secondaire
2006;12/06/2006;MBENGANE;Masculin;Non;NULL;Secondaire
2007;24/11/2007;GOSSAS VILLAGE;Feminin;Non;NULL;Secondaire
2007;10/02/1995;KEUR SERIGNE NDIAKHATE;Masculin;Oui;22/02/2007;Secondaire
2006;01/11/1995;DIENDER;Masculin;Oui;14/03/2006;Secondaire
2007;29/04/1994;MBENGANE;Masculin;Oui;21/11/2006;Secondaire
2007;10/04/1986;BOUNE FASSOW;Feminin;Oui;28/03/2007;Secondaire
2006;04/01/1986;KEUR MACODOU;Feminin;Oui;29/03/2006;Secondaire
2006;01/01/1996;DIENDER;Feminin;Oui;14/03/2006;Secondaire
2007;24/02/1995;BOUNE FASSOW;Masculin;Oui;20/03/2006;Secondaire
2007;30/04/1995;MBENGANE;Feminin;Oui;14/03/2006;Secondaire
2006;06/11/2005;NDOCK DIOUMA COUMBA;Masculin;Non;NULL;Secondaire
2007;06/03/1981;GASSEL;Masculin;Oui;14/03/2006;Secondaire
2007;06/04/1952;KEUR DEMBA  KHOKH;Masculin;Oui;21/11/2006;Secondaire
2006;21/06/2006;GOSSAS VILLAGE;Feminin;Non;NULL;Secondaire
2006;15/12/2004;SOUMBEL KEUR LATYR;Feminin;Oui;29/03/2006;Secondaire
2006;06/03/1999;DIENDER;Masculin;Oui;14/03/2006;Secondaire
2007;02/02/2003;GOSSAS VILLAGE;Feminin;Oui;21/11/2006;Secondaire
2007;15/02/1995;PATAR LIA;Feminin;Oui;22/02/2007;Secondaire
2007;06/02/1987;GASSEL;Feminin;Oui;14/03/2006;Secondaire
2007;01/02/1994;GOSSAS VILLAGE;Masculin;Oui;21/11/2006;Secondaire
2006;01/01/1996;DIENDER;Masculin;Oui;14/03/2006;Secondaire
2007;01/01/1985;GOSSAS VILLAGE;Feminin;Oui;22/02/2007;Secondaire
2006;09/04/2006;SOUMBEL KEUR LATYR;Masculin;Non;NULL;Secondaire
2007;03/04/1989;GASSEL;Feminin;Oui;21/11/2006;Secondaire
2006;03/01/1996;DIENDER;Masculin;Oui;14/03/2006;Secondaire
2007;09/03/1999;GOSSAS VILLAGE;Feminin;Oui;21/11/2006;Secondaire
2007;02/07/1991;PATAR LIA;Feminin;Oui;21/11/2006;Secondaire
2007;13/03/1996;SOMB;Masculin;Oui;21/11/2006;Secondaire
2007;01/09/2000;DIAMAGUENE;Masculin;Oui;21/11/2006;Secondaire
2007;06/04/1986;MBENGANE;Masculin;Oui;21/11/2006;Secondaire
2006;06/02/1983;KEUR MACODOU;Masculin;Oui;29/03/2006;Secondaire
2007;13/06/1998;TOUNE;Masculin;Oui;21/11/2006;Secondaire
2007;17/06/1996;SOMB;Feminin;Oui;21/11/2006;Secondaire
2007;03/05/1989;GASSEL;Feminin;Oui;01/08/2006;Secondaire
2007;24/03/1996;SOMB;Masculin;Oui;21/11/2006;Secondaire
2007;03/01/2000;GOSSAS VILLAGE;Feminin;Oui;21/11/2006;Secondaire
2007;03/03/1996;SOMB;Masculin;Oui;21/11/2006;Secondaire
2006;10/01/1993;BOUNE FASSOW;Masculin;Oui;14/03/2006;Secondaire
2007;06/05/1996;TOUNE;Masculin;Oui;21/11/2006;Secondaire
2006;01/02/1978;DIENDER;Feminin;Oui;14/03/2006;Secondaire
2007;06/09/1995;SOMB;Feminin;Oui;21/11/2006;Secondaire
2007;24/06/1977;SOMB;Masculin;Oui;28/03/2007;Secondaire
2006;07/10/1988;GOSSAS VILLAGE;Feminin;Oui;14/03/2006;Secondaire
2007;12/03/1995;GOSSAS VILLAGE;Masculin;Oui;21/11/2006;Secondaire
2006;03/04/1989;BADIARA;Feminin;Oui;14/03/2006;Secondaire
2007;19/03/2007;GOSSAS VILLAGE;Masculin;Non;NULL;Secondaire
2007;01/03/1996;TOUNE;Masculin;Oui;21/11/2006;Secondaire
2006;06/08/1981;BADIARA;Feminin;Oui;14/03/2006;Secondaire
2007;05/05/2007;GOSSAS VILLAGE;Feminin;Non;NULL;Secondaire
2007;07/09/2007;FISSEL 1;Masculin;Non;NULL;Secondaire
2007;10/01/1994;GOSSAS VILLAGE;Masculin;Oui;21/11/2006;Secondaire
2006;04/10/1998;KEUR AMADOU DIOP;Masculin;Oui;14/03/2006;Secondaire
2007;01/03/2005;GOSSAS VILLAGE;Feminin;Oui;21/11/2006;Secondaire
2007;23/01/1996;GOSSAS VILLAGE;Feminin;Oui;14/03/2006;Secondaire
2006;04/03/2000;KEUR AMADOU DIOP;Feminin;Oui;14/03/2006;Secondaire
2006;10/02/1984;KEUR AMADOU DIOP;Feminin;Oui;14/03/2006;Secondaire
2007;12/01/2007;SOUMBEL KEUR LATYR;Masculin;Non;NULL;Secondaire
2007;01/09/2007;FISSEL 1;Masculin;Non;NULL;Secondaire
2007;01/02/1979;SOMB;Masculin;Oui;21/11/2006;Secondaire
2006;01/01/1988;NDIOURBEL SINE;Masculin;Oui;14/03/2006;Secondaire
2007;30/03/2007;TOUNE;Feminin;Non;NULL;Secondaire
2006;10/04/2000;BANANE;Masculin;Non;NULL;Secondaire
2007;16/11/2007;LONDIOR;Masculin;Non;NULL;Secondaire
2007;05/04/2007;TOUNE;Feminin;Non;NULL;Secondaire
2006;06/03/1986;KEUR YABI;Masculin;Oui;14/03/2006;Secondaire
2007;10/06/2004;KEUR MEDOUNE;Feminin;Oui;21/11/2006;Secondaire
2006;05/02/1986;BADIARA;Feminin;Oui;14/03/2006;Secondaire
2007;15/04/1988;LAYENE;Feminin;Oui;22/02/2007;Secondaire
2006;06/01/1988;PATAR LIA;Feminin;Oui;14/03/2006;Secondaire
2007;20/05/1996;BANANE;Masculin;Oui;14/03/2006;Secondaire
2006;15/03/1986;FISSEL I;Masculin;Oui;14/03/2005;Secondaire
2007;15/02/1978;LAYENE;Masculin;Oui;22/02/2007;Secondaire
2007;24/10/2003;KEUR MEDOUNE;Masculin;Oui;21/11/2006;Secondaire
2006;27/07/1981;NDIEBEL;Feminin;Oui;14/03/2006;Secondaire
2007;15/02/2007;BOUSTANE DIAW;Feminin;Non;NULL;Secondaire
2006;14/05/1985;NDIEBEL;Feminin;Oui;14/03/2006;Secondaire
2007;08/02/2007;BOUSTANE DIAW;Feminin;Non;NULL;Secondaire
2007;10/07/1982;GOSSAS VILLAGE;Feminin;Oui;21/11/2006;Secondaire
2006;12/08/1988;BADIARA;Feminin;Oui;14/03/2006;Secondaire
2006;12/09/1988;NDIEBEL;Feminin;Oui;14/03/2006;Secondaire
2007;05/04/2007;DIENDER 1;Masculin;Non;NULL;Secondaire
2007;17/09/2007;BADIARA;Masculin;Non;NULL;Secondaire
2006;03/04/1986;PATAR LIA;Masculin;Oui;14/03/2006;Secondaire
2006;25/05/1981;NDIEBEL;Feminin;Oui;14/03/2006;Secondaire
2007;26/12/1988;KEUR AMADOU DIOP;Masculin;Oui;22/02/2007;Secondaire
2007;13/11/2000;PATAR LIA;Feminin;Non;NULL;Secondaire
2006;17/03/1986;NDIEBEL;Feminin;Oui;14/03/2006;Secondaire
2006;06/04/1995;PATAR LIA;Masculin;Oui;14/03/2006;Secondaire
2006;12/09/2000;SOUMBEL KEUR LATYR;Masculin;Oui;14/03/2006;Secondaire
2007;20/11/2007;NDOCK SARE;Masculin;Non;NULL;Secondaire
2006;23/04/1986;NDIEBEL;Feminin;Oui;14/03/2006;Secondaire
2006;14/04/1986;MBENGANE;Masculin;Oui;14/03/2006;Secondaire
2006;03/04/1997;SOUMBEL KEUR LATYR;FEMININ;Oui;14/03/2006;Secondaire
2007;24/12/2007;MBELA NDOCK;Masculin;Non;NULL;Secondaire
2006;12/09/1986;SOMB;Masculin;Oui;14/03/2006;Secondaire
2007;14/12/2007;MBELA NDOCK;Masculin;Non;NULL;Secondaire
2006;23/02/1994;SOUMBEL KEUR LATYR;Masculin;Oui;14/03/2006;Secondaire
2006;05/07/1982;SOMB;Feminin;Oui;14/03/2006;Secondaire
2006;16/04/1987;SOMB;Masculin;Oui;14/03/2006;Secondaire
2007;01/01/2007;MBELA NDOCK;Feminin;Non;NULL;Secondaire
2006;04/02/2006;NDIOURBEL SINE;Feminin;Non;NULL;Secondaire
2007;16/12/2006;SOMB;Feminin;Non;NULL;Secondaire
2007;01/12/2007;SOMB;Masculin;Non;NULL;Secondaire
2007;30/03/1995;PATAR LIA;Feminin;Oui;22/04/2004;Secondaire
2007;01/01/1988;NDIOURBEL SINE;Masculin;Oui;21/11/2006;Secondaire
2007;03/07/1988;NDIOURBEL SINE;Masculin;Oui;21/11/2006;Secondaire
2007;08/01/1987;KEUR SERIGNE NDIAKHATE;Feminin;Oui;21/11/2006;Secondaire
2007;01/01/1988;NDOCK SARE;Feminin;Oui;21/11/2006;Secondaire
2006;10/03/2006;NDIOURBEL SINE;Feminin;Non;NULL;Secondaire
2007;05/01/1980;NDOCK SARE;Feminin;Oui;21/11/2006;Secondaire
2006;19/04/2006;KEUR YABY;Masculin;Non;NULL;Secondaire
2007;06/03/1996;NDOCK SARE;Masculin;Oui;21/11/2006;Secondaire
2006;06/03/1989;FISSEL II;Feminin;Oui;14/03/2006;Secondaire
2007;08/08/1998;NDOCK SARE;Masculin;Oui;21/11/2006;Secondaire
2006;05/04/2006;PATAR FISSEL;Feminin;Oui;14/03/2006;Secondaire
2007;10/05/1978;NDOCK SARE;Masculin;Oui;21/11/2006;Secondaire
2007;03/04/1998;NDOCK SARE;Masculin;Oui;21/11/2006;Secondaire
2006;06/12/2005;FISSEL II;Masculin;Non;NULL;Secondaire
2007;26/03/2006;NDOCK PEULH;Feminin;Non;NULL;Secondaire
2007;23/11/2007;NDIEBEL;Masculin;Non;NULL;Secondaire
2007;10/10/2006;BANANE;Feminin;Non;NULL;Secondaire
2006;03/06/1951;SAKHMACK;Feminin;Oui;14/03/2006;Secondaire
2007;07/12/2006;SAKHMACK;Masculin;Non;NULL;Secondaire
2006;01/01/1986;SAKHMACK SERERE;Feminin;Oui;14/03/2006;Secondaire
2007;16/08/2007;BOUNE FASSOW;Masculin;Non;NULL;Secondaire
2007;10/09/2006;MBELA NDOCK;Feminin;Non;NULL;Secondaire
2007;15/08/2007;SOUMBEL KEUR LATYR;Feminin;Non;NULL;Secondaire
2006;05/12/1986;FISSEL I;Feminin;Oui;14/03/2006;Secondaire
2007;12/06/2003;NDOCK SARE;Feminin;Oui;28/03/2007;Secondaire
2007;15/07/2006;KEUR MEDOUNE;Masculin;Non;NULL;Secondaire
2006;10/03/1988;SOUMBEL KEUR LATYR;Feminin;Oui;14/03/2006;Secondaire
2007;02/04/2001;NDOCK SARE;Masculin;Oui;28/03/2007;Secondaire
2007;30/12/2006;PATAR LIA;Masculin;Non;NULL;Secondaire
2006;01/01/1992;BANANE;Feminin;Oui;14/03/2006;Secondaire
2007;01/01/2000;SOMB;Masculin;Non;NULL;Secondaire
2006;01/01/1980;BOUNE FASSOW;Feminin;Oui;14/03/2006;Secondaire
